Code,Searched keyword,Index,Job title,Company,Location,Min salary,Max salary,Link
3118,ช่างเขียนแบบ,29,โฟร์แมนผู้ควบคุมงาน,บริษัท สหธนชล จำกัด,อ.เมืองชลบุรี จ.ชลบุรี,"15,000","30,000",jobthai.com/th/company/job/1029191
3118,ช่างเขียนแบบ,30,วิศวกรสนาม/สถาปนิกควบคุมงาน (บางบ่อ-สมุทรปราการ),บริษัท แฟคทอรี่ ยาร์ด กรุ๊ป จำกัด,อ.บางบ่อ จ.สมุทรปราการ,"25,000","30,000",jobthai.com/th/company/job/1176374
3118,ช่างเขียนแบบ,31,หัวหน้าแผนกวางแผนการผลิต (ประจำโรงงานชลบุรี ห้วยกะปิ ),บริษัท เพาว์เวอร์ ยูต้า กรุ๊ป จำกัด,อ.เมืองชลบุรี จ.ชลบุรี,"20,000","40,000",jobthai.com/th/company/job/704587
3118,ช่างเขียนแบบ,32,Content Online,บริษัท ซื่อตรงก่อสร้าง และพัฒนา จำกัด,อ.เมืองอุบลราชธานี จ.อุบลราชธานี,"12,000",-,jobthai.com/th/company/job/1292806
3118,ช่างเขียนแบบ,33,วิศวกรโยธา สำนักงานขอนแก่น,บริษัท โกลด์ เฮ้าส์ พรอพเพอร์ตี้ จำกัด,อ.เมืองขอนแก่น จ.ขอนแก่น,"18,000","25,000",jobthai.com/th/company/job/1228946
3118,ช่างเขียนแบบ,34,วิศวกรโยธา สำนักงานสุรินทร์,บริษัท โกลด์ เฮ้าส์ พรอพเพอร์ตี้ จำกัด,อ.เมืองสุรินทร์ จ.สุรินทร์,"18,000","25,000",jobthai.com/th/company/job/1300345
3118,ช่างเขียนแบบ,35,Gardener Suppervisor (หัวหน้าคนสวน),บริษัท เค เวฟ จำกัด (Mason Pattaya Hotel),อ.สัตหีบ จ.ชลบุรี,"15,000","20,000",jobthai.com/th/company/job/1274622
3118,ช่างเขียนแบบ,36,ช่างเชื่อม /ช่างฉีดพลาสติก (Welder / Injection),บริษัท วิค จำกัด (มหาชน),อ.ปลวกแดง จ.ระยอง,"10,500","12,500",jobthai.com/th/company/job/994243
3118,ช่างเขียนแบบ,37,หัวหน้างาน/ช่างตั้งเครื่องทอสร้อย,บริษัท โกลด์ ฟิลด์ รีไฟเนอรี จำกัด,นิคมอุตสาหกรรมอัญธานี กรุงเทพมหานคร,"20,000","50,000",jobthai.com/th/company/job/1228206
3118,ช่างเขียนแบบ,38,วิศวกร (ไฟฟ้า),บริษัท ยูไนเต็ด สตีลเวอร์ค จำกัด,อ.กระทุ่มแบน จ.สมุทรสาคร,"18,000","30,000",jobthai.com/th/company/job/1025467
3118,ช่างเขียนแบบ,39,Admin Officer,บริษัท ลุกซ์ รอยัล (ประเทศไทย) จำกัด,เขตวัฒนา กรุงเทพมหานคร,"15,000","18,000",jobthai.com/th/company/job/1319043
3118,ช่างเขียนแบบ,40,Electrical/Mechanical Project Engineer,"Latitude 1 Maritime Co., Ltd.",อ.เมืองภูเก็ต จ.ภูเก็ต,"40,000","50,000",jobthai.com/th/company/job/1322379
3118,ช่างเขียนแบบ,41,โอเปอร์เรเตอร์ขับเครื่องจักร,บริษัท เร้นท์ เทรด แอนด์ เซอร์วิส จำกัด,อ.บางพลี จ.สมุทรปราการ,"800,000","900,00",jobthai.com/th/company/job/1307659
3118,ช่างเขียนแบบ,42,ช่างออกแบบเครื่องกล,บริษัท พาลาฟอร์ซ ออโตเมชั่น จำกัด,เขตสะพานสูง กรุงเทพมหานคร,"18,000","25,000",jobthai.com/th/company/job/1319392
3118,ช่างเขียนแบบ,43,ช่าง project *สัญญา 1 ปี*,"Goodpack Manufacturing Co., Ltd.",อ.ศรีราชา จ.ชลบุรี,"460,000",",000",jobthai.com/th/company/job/1324393
3118,ช่างเขียนแบบ,44,ช่างไฟฟ้า,บริษัท เซอร์คูล่า เอ็นเนอร์ยี จำกัด (สำนักงานใหญ่),เขตส่งเสริมอุตสาหกรรมนวนคร ปทุมธานี จ.ปทุมธานี,"13,000",-,jobthai.com/th/company/job/1257961
3118,ช่างเขียนแบบ,45,Senior Engineer,บริษัท อมรมาศ จำกัด,เขตวัฒนา กรุงเทพมหานคร,"80,000",-,jobthai.com/th/company/job/1323657
3118,ช่างเขียนแบบ,46,กราฟฟิคดีไซน์ ออกแบบตกแต่งภายใน,The Infinity Grand.Co.th,เขตจอมทอง กรุงเทพมหานคร,"15,000","20,000",jobthai.com/th/company/job/1280738
3118,ช่างเขียนแบบ,47,Foreman (ควบคุมงานติดตั้งเคาน์เตอร์เครื่องสำอาง),"Happ Exhibition Co.,Ltd.",อ.ลำลูกกา จ.ปทุมธานี,"20,000","25,000",jobthai.com/th/company/job/665351
3118,ช่างเขียนแบบ,48,ซ่อมบำรุง,บริษัท นอร์ทเทอร์นกลาส จำกัด,อ.ศรีราชา จ.ชลบุรี,"11,000","12,000",jobthai.com/th/company/job/1266648
3118,ช่างเขียนแบบ,49,วิศวกรซ่อมบำรุง(ไฟฟ้า) (ประจำโรงงาน ต.นาดี อ.นาเยีย),"P.R. Recruitment and Business Management Co., Ltd.",อ.นาเยีย จ.อุบลราชธานี,"18,000","20,000",jobthai.com/th/company/job/1005156
3118,ช่างเขียนแบบ,50,Electrical engineer,ห้างหุ้นส่วนจำกัด ดีแอนด์โอจี เอ็นจิเนียริ่ง,อ.บางปะอิน จ.พระนครศรีอยุธยา,"18,500","25,000",jobthai.com/th/company/job/1321938
3118,ช่างเขียนแบบ,51,Machining & Shot Peening Technician,Revima Asia Pacific Ltd.,นิคมอุตสาหกรรมอมตะนคร (โครงการ 2) จ.ชลบุรี,"15,000","18,000",jobthai.com/th/company/job/1330648
3118,ช่างเขียนแบบ,52,ผู้จัดการโรงงาน (Factory Manager),บริษัท ไทยแพ็คเกจจิ้ง แมนูแฟ็กเจอเรอร์ จำกัด,อ.พระประแดง จ.สมุทรปราการ,"40,000","60,000",jobthai.com/th/company/job/1197097
3118,ช่างเขียนแบบ,53,โฟร์แมน (ตกแต่งภายใน),"W&S Decoration Co., Ltd.",เขตบางคอแหลม กรุงเทพมหานคร,"14,000",-,jobthai.com/th/company/job/954952
3118,ช่างเขียนแบบ,54,วิศวกรสนาม/วิศวกรควบคุมงานก่อสร้าง,บริษัท เอ.ซี.เอ็นจิเนียริ่ง เซอร์วิส แอนด์ ซัพพลาย จำกัด,MRT บางยี่ขัน,"20,000","30,000",jobthai.com/th/company/job/736625
3118,ช่างเขียนแบบ,55,วิศวกรโยธา,บริษัท เอ.ซี.เอ็นจิเนียริ่ง เซอร์วิส แอนด์ ซัพพลาย จำกัด,MRT บางยี่ขัน,"20,000","30,000",jobthai.com/th/company/job/968442
3118,ช่างเขียนแบบ,56,พนักงานจัดซื้อและธุรการ,บริษัท สยามยีเอสเซลส์ จำกัด,เขตประเวศ กรุงเทพมหานคร,"15,000","20,000",jobthai.com/th/company/job/1327932
3118,ช่างเขียนแบบ,57,ช่างติดตั้งและขนส่งไม้เทียม,บริษัท กนกเทรดดิ้ง จำกัด,เขตมีนบุรี กรุงเทพมหานคร,"13,000","18,000",jobthai.com/th/company/job/1226480
3118,ช่างเขียนแบบ,58,ช่างซ่อมบำรุง (ด้านไฟฟ้า),บริษัท ไท้เพ้ง วาล์ว แมนูแฟคเจอริ่ง จำกัด,อ.บางพลี จ.สมุทรปราการ,"15,000","20,000",jobthai.com/th/company/job/928254
3118,ช่างเขียนแบบ,59,การตลาดออนไลน์ Online Marketing - PalFish Thailand,บริษัท แพ็ลฟิช (ไทยแลนด์) จำกัด,อ.ปากเกร็ด จ.นนทบุรี,"20,000","35,000",jobthai.com/th/company/job/1303098
3118,ช่างเขียนแบบ,60,Designer (Playboy Fashion),บริษัท ล้ำยุค (มิลเลนเนี่ยม 2002) จำกัด,เขตวังทองหลาง กรุงเทพมหานคร,"20,000","40,000",jobthai.com/th/company/job/1130122
3118,ช่างเขียนแบบ,61,Graphic Designer,"Giant Point Co., Ltd.",เขตคลองเตย กรุงเทพมหานคร,"18,000","25,000",jobthai.com/th/company/job/692102
3118,ช่างเขียนแบบ,62,Account Executive (ประสานงานด้านการผลิตชิ้นงานโฆษณา),"Giant Point Co., Ltd.",เขตคลองเตย กรุงเทพมหานคร,"18,000","25,000",jobthai.com/th/company/job/389873
3118,ช่างเขียนแบบ,63,เจ้าหน้าที่ฝ่ายออกแบบและเขียนแบบแม่พิมพ์ Moulds Design,บริษัท ไฮ-เทค โมลด์ แอนด์ พลาสติก (ไทยแลนด์) จำกัด,อ.ศรีราชา จ.ชลบุรี,"25,000","80,000",jobthai.com/th/company/job/1188298
3118,ช่างเขียนแบบ,64,ช่างเทคนิค,Well Graded Engineering PLC,อ.ลาดหลุมแก้ว จ.ปทุมธานี,"12,000","20,000",jobthai.com/th/company/job/1303393
3118,ช่างเขียนแบบ,65,หัวหน้าวิศวกรโครงการ/ HEAD OF PROJECT ENGINEER,บริษัท บริลเลี่ยนท์ พาวเวอร์ จำกัด,เขตราษฎร์บูรณะ กรุงเทพมหานคร,"40,000","50,000",jobthai.com/th/company/job/1326433
3118,ช่างเขียนแบบ,66,Solution designer  (Pre-Sales),บริษัท พรีเซ้นต์ เทคโนโลยี จำกัด,เขตบางกะปิ กรุงเทพมหานคร,"19,000","22,000",jobthai.com/th/company/job/1294732
3118,ช่างเขียนแบบ,67,ช่างควบคุมเครื่อง CNC LATHE,"Rigid Technologies Co., Ltd. [การผลิตชิ้นส่วนความละเอียดสูง]",บิ๊กแลนด์ แฟคตอรี่ จ.ปทุมธานี,"19,000","30,000",jobthai.com/th/company/job/526334
3118,ช่างเขียนแบบ,68,Bangkok-2022-061 / Trades Helper เปิดรับสมัครตำแหน่งผู้ช่วยช่าง,U.S. Embassy,เขตปทุมวัน กรุงเทพมหานคร,"211,687","211,68",jobthai.com/th/company/job/1327180
3122,หัวหน้าคุมงานด้านการผลิต,1,MC Specialist,บริษัท ท็อป ลิงค์ อินดัสเทรียล (ประเทศไทย) จำกัด,นิคมอุตสาหกรรมดับบลิวเอชเอ อีสเทิร์นซีบอร์ด 1 จ.ระยอง,"20,000","30,000",jobthai.com/th/company/job/1312961
3122,หัวหน้าคุมงานด้านการผลิต,2,ช่างซ่อมบำรุง (สำโรงใต้ สมุทรปราการ),บริษัท สกิลพาวเวอร์ เซอร์วิส (ประเทศไทย) จำกัด,อ.พระประแดง จ.สมุทรปราการ,"14,000","18,000",jobthai.com/th/company/job/1289090
3123,หัวหน้าคุมงานด้านการก่อสร้าง,1,ผู้ควบคุมงานติดตั้งชุดงานกระจกอลูมิเนียม,บริษัท อลูมิเนียม เวิร์ค จำกัด,อ.บางบัวทอง จ.นนทบุรี,"19,000",-,jobthai.com/th/company/job/1212420
3123,หัวหน้าคุมงานด้านการก่อสร้าง,2,Site Engineer วิศวกรอาวุโส,บริษัท เอสติม่า แอสเสท จำกัด,MRT เพชรบุรี,"30,000",-,jobthai.com/th/company/job/1173927
3123,หัวหน้าคุมงานด้านการก่อสร้าง,3,วิศวกรโครงการ (Project Engineer),บริษัท ไทย รีนิวเอเบิล จำกัด,ARL มักกะสัน,"25,000","45,000",jobthai.com/th/company/job/1323739
3123,หัวหน้าคุมงานด้านการก่อสร้าง,4,"Project Manager(โยธา), project Architect (สถาปัตย์)",บริษัท เอสพีเจแลนด์ จำกัด,เขตวังทองหลาง กรุงเทพมหานคร,"40,000","70,000",jobthai.com/th/company/job/1263648
3256,ผู้ช่วยด้านการแพทย์,1,ผู้จัดการคลินิก,Zenitoni Friends,เขตยานนาวา กรุงเทพมหานคร,"10,000","20,000",jobthai.com/th/company/job/1171881
3256,ผู้ช่วยด้านการแพทย์,2,ผู้ช่วยแพทย์/เจ้าหน้าที่ทรีทเม้นท์,BSL Clinic บีเอสแอลคลินิก Bangkok skin and laser center,BTS ศาลาแดง,"15,000","30,000",jobthai.com/th/company/job/732019
3256,ผู้ช่วยด้านการแพทย์,3,ผู้ช่วยแพทย์,บริษัท แบงค์คอก พลาสติก เซอร์เจอรี่ เซ็นเตอร์ จำกัด,MRT สีลม,"15,000","20,000",jobthai.com/th/company/job/1229173
3256,ผู้ช่วยด้านการแพทย์,4,เลขานุการฝ่ายต่างประเทศ,บริษัท ไทย เมดิคอล เทรดดิ้ง จำกัด,BTS ทองหล่อ,"20,000","35,000",jobthai.com/th/company/job/1182108
3256,ผู้ช่วยด้านการแพทย์,5,ผู้จัดการฝึกหัดคลินิกทันตกรรม (ชลบุรี นครปฐม อยุธยา ฉะเชิงเทรา อุบลฯ กาฬสินธุ์ ),บริษัท ไทยเดนทัลคลินิกแมนเนจเม้นท์ จำกัด,อ.พุทธมณฑล จ.นครปฐม,"15,000","35,000",jobthai.com/th/company/job/1322608
3256,ผู้ช่วยด้านการแพทย์,6,เจ้าหน้าที่พิจราณาสินไหม ( เบิก - เคลม ),AXA Partners,อ.บางละมุง จ.ชลบุรี,"20,000","23,000",jobthai.com/th/company/job/1328952
